No	Na	x	y	z	Cl	x	y	z
71	34.413062	1.962924	5.677439	33.884693	18.285852	10.844216	4.266060	14.091703
72	27.316660	-6.054538	16.012480	21.287155	12.983130	10.585836	-7.516753	-0.011860
73	6.565584	2.014552	3.324773	5.290969	19.480272	18.075304	6.991289	-1.971358
74	19.146656	7.731506	-13.042809	-11.692022	16.061612	-0.347410	-5.480151	-15.093795
75	18.220029	-4.149416	14.761998	9.840488	13.572363	-3.311590	11.053884	7.145213
76	9.487127	-4.362742	5.352659	6.505467	13.240802	9.285293	6.525441	6.820616
77	18.354284	8.543673	-16.031601	2.621676	16.650395	-0.377660	-14.159389	-8.752413
78	22.936459	19.256321	-6.487498	10.638968	14.462155	-8.631288	9.816884	6.187374
79	21.494382	-21.378960	-2.213923	0.217013	7.166891	-0.066461	5.805771	-4.201540
80	23.541871	20.773863	10.065463	4.620903	13.650525	12.643411	-5.139117	0.265455
81	24.923977	-13.541318	13.813524	-15.716993	21.065398	7.034211	17.230524	-9.868127
82	8.816106	4.741121	-4.307337	6.057420	24.830672	13.547705	1.913332	20.721031
83	9.618458	5.255851	0.516888	8.038880	8.726606	8.190124	1.605568	-2.549056
84	13.161461	-5.288384	-0.445901	12.044012	8.262890	-4.454972	-6.922243	0.714933
85	29.549250	-3.349098	4.530936	-29.007109	3.656571	2.056106	-1.604335	2.563015
86	15.059450	-5.692319	13.884978	-1.261708	27.200542	-1.200547	2.171700	27.087116
87	18.531568	-11.602302	-14.359495	1.615705	21.385743	7.136781	-12.901407	-15.490967
88	25.852208	-14.385463	18.567137	10.800766	16.030853	0.023786	15.394735	-4.470994
89	35.275661	-25.492455	23.864012	-5.001597	11.422668	4.482662	-10.500978	0.335450
90	24.573676	-22.775925	-8.940000	2.280178	11.939762	6.727427	9.816621	-0.966229
91	25.420693	-7.981787	3.394148	23.895239	23.675469	-6.403646	-22.742373	1.518428
92	30.404500	-15.783689	-22.311903	13.322454	19.244553	-17.612288	-2.115521	-7.462219
93	5.806722	0.585446	-2.595737	5.161146	19.336023	1.132758	7.281307	-17.876835
94	21.686682	-3.057135	1.182670	-21.437523	25.645709	-6.482353	22.804928	-9.778381
95	29.102087	15.177094	-8.059397	-23.486877	28.225769	1.915324	5.382014	-27.641626
96	19.924555	-12.916471	3.086847	14.853419	16.121172	-1.021690	1.457403	16.022619
97	13.514916	11.322819	-3.447067	-6.524145	21.031358	14.758908	6.264084	13.610801
98	15.731296	0.865500	13.226297	8.472878	20.570457	16.348606	12.179510	-2.743412
99	19.842101	6.355775	13.962059	-12.584674	5.264375	2.710063	-0.986024	-4.404198
100	15.023630	-13.756305	2.937937	5.276556	14.375080	-3.848895	5.880450	12.539906
101	24.308309	-11.911659	-20.514353	5.307314	17.644740	13.681269	6.619069	-8.963685
102	12.751326	8.522124	8.340417	-4.517429	19.483944	-11.371568	-14.661130	5.946663
103	8.240393	-2.776484	1.448744	-7.622097	10.842896	-0.202628	10.733505	-1.522889
104	18.927208	-13.924887	-10.685987	-7.081415	23.560940	-16.258537	-17.002968	-1.294975
105	11.565551	4.680200	-10.183305	-2.856220	15.535504	-4.967865	3.960155	14.177072
106	13.251535	8.829952	-1.983883	-9.679841	6.189721	-2.055929	-5.493788	-1.975881
107	19.633655	-6.690101	-12.055995	-13.977695	6.626950	-0.835121	-6.355802	1.680123
108	17.877687	5.061608	9.953222	13.961561	8.791125	5.150214	4.094366	-5.830553
109	13.991194	-11.981259	-6.074953	3.911252	10.531337	2.678346	-6.513884	7.829741
110	23.798459	-4.650774	-23.037655	-3.742114	18.637509	-10.188931	-5.980393	14.414482
111	23.067164	-18.231951	1.154134	-14.083962	8.982319	3.301705	-0.645961	-8.328477
112	36.207876	-0.201004	18.270620	-31.259468	13.448426	-0.918361	3.105080	-13.052787
113	28.958229	-22.837353	15.134648	9.379592	13.096201	-1.159361	-0.731700	-13.024246
114	21.137423	7.829155	18.037992	-7.754082	13.031323	-4.152829	-0.151638	-12.350967
115	8.609736	-0.735830	8.577992	-0.064475	10.819556	-5.451819	8.819208	3.092254
116	21.486622	-0.970481	-9.932117	19.028561	24.894459	-0.711905	24.359287	-5.084526
117	10.151170	8.581557	4.135967	3.506693	16.338386	-15.722968	0.488842	4.414993
118	11.273001	6.212418	-2.331321	9.113252	9.524685	6.104569	-3.115998	6.613956
119	21.316072	-4.156674	20.009193	-6.060460	15.482413	13.640388	3.798369	6.262375
120	30.936320	-1.376907	20.108564	-23.469250	12.439029	5.014760	0.094481	-11.383000
121	21.491782	-1.294299	-21.198656	-3.292185	14.186633	-9.025949	10.915710	-0.800032
122	28.497688	20.033091	6.524544	19.189159	10.084219	9.072744	2.124551	-3.855265
123	15.628768	9.621075	4.747157	11.364762	9.797362	-3.919533	1.324461	-8.880956
124	29.026345	-7.607792	-1.292225	-27.981787	16.156765	-3.549582	1.216446	15.715018
125	12.617539	3.623600	-10.123791	-6.601565	21.668600	-7.319687	-18.869862	7.738134
126	10.913696	-0.629717	0.704070	10.872742	7.781331	1.597724	-4.528253	6.123016
127	21.460148	17.803289	9.427420	-7.396256	9.024658	0.527753	-9.009193	0.018824
128	15.981204	-4.498931	0.546859	-15.325125	18.402247	-18.213659	-2.478078	0.874313
129	44.106873	-2.417600	-3.150818	-43.927711	7.757418	6.862410	-3.597348	0.379399
130	15.356086	-6.183371	10.577787	9.256658	12.715820	-7.689723	8.321418	5.771849
131	13.064014	-11.180289	0.358349	-6.748420	27.083052	7.872357	-22.840364	12.240728
132	36.713897	-20.374905	30.481367	1.913049	7.124344	4.814163	-4.131884	-3.241549
133	27.569775	-7.338560	26.574129	0.231667	5.204297	-1.009496	-1.408724	-4.907252
134	26.203139	13.114174	-1.828396	-22.611500	13.695125	-2.819398	-12.855280	3.788036
135	1.898360	1.199459	-0.144767	-1.464278	15.255216	12.888293	-8.130183	-0.716674
136	2.259557	1.896375	-0.987607	0.730749	35.595575	25.930309	9.380216	-22.509455
137	29.373617	16.696844	-1.123102	24.140493	30.376698	17.074196	25.120197	-0.437378
138	5.368765	-4.584015	2.603108	-1.016993	18.254994	14.437782	4.778160	-10.097745
139	16.604366	1.757212	-1.009666	16.480223	14.046984	-1.408603	5.884514	-12.676991
140	13.351411	8.207427	-9.178569	5.162577	9.729188	4.917602	-8.392201	0.212730
141	17.662033	-12.533103	-10.936714	-5.937763	11.285559	-3.175974	-8.246123	-7.019863
142	19.704894	0.834099	-1.774271	19.607119	13.485229	-11.898596	6.282254	0.898944
143	21.238558	3.108334	20.962374	-1.411907	20.246098	-15.597608	-7.338137	10.619364
144	23.002154	4.596293	-12.922929	-18.465403	24.278463	-17.274820	13.245607	10.750731
145	7.824334	-7.227428	-2.241098	-1.990471	10.041510	4.635816	-8.168453	3.552114
146	28.615366	-3.542059	-15.708930	23.654228	18.690271	-4.836053	-15.138748	9.836520
147	24.914998	15.397203	-17.817307	8.137987	13.630647	0.878716	10.734402	8.354342
148	35.701220	-31.647247	-11.920365	11.442627	16.139712	15.265143	3.499554	-3.901129
149	10.112097	-9.061192	-4.163277	-1.678228	13.671868	-3.951314	10.869754	-7.290785
150	34.483599	-21.159580	24.966278	10.866264	15.148328	3.231220	-12.480126	7.954716
151	6.338393	-0.458013	5.905499	-2.256221	11.421678	-3.663390	-3.629944	-10.191065
152	28.574807	-22.706505	14.404908	-9.666068	4.139590	0.990850	3.695914	1.579442
153	22.446926	-11.555363	16.174715	10.426729	18.648675	7.351302	-13.084101	11.069676
154	23.099553	22.240532	6.188353	-0.807706	15.568267	2.099851	-13.420981	7.605184
155	17.469571	8.602056	2.826234	-14.939979	13.314797	-12.410200	4.748126	0.852095
156	20.972244	5.796678	-12.202102	16.041891	19.480913	6.390835	9.819529	15.564063
157	18.013047	8.116394	-2.730963	15.847266	13.674175	10.179464	5.779017	-7.068559
