No	Na_eng	Na_rad	Cl_eng	Cl_rad
1259	0.013412	0.577209	0.008119	0.799123
1260	0.020118	0.577291	0.017587	0.799283
1261	0.008168	0.577145	0.015655	0.799250
1262	0.008183	0.577145	0.017289	0.799277
1263	0.015042	0.577229	0.019792	0.799320
1264	0.014973	0.577228	0.021270	0.799345
1265	0.015665	0.577236	0.012653	0.799199
1266	0.012262	0.577195	0.012776	0.799201
1267	0.014905	0.577227	0.022699	0.799369
1268	0.018765	0.577274	0.007132	0.799106
1269	0.019767	0.577286	0.009083	0.799139
1270	0.007222	0.577133	0.018839	0.799304
1271	0.010360	0.577171	0.016112	0.799258
1272	0.017872	0.577263	0.023220	0.799378
1273	0.014907	0.577227	0.009925	0.799153
1274	0.011660	0.577187	0.027223	0.799445
1275	0.016218	0.577243	0.009753	0.799150
1276	0.013311	0.577207	0.011916	0.799187
1277	0.034742	0.577469	0.010477	0.799162
1278	0.016061	0.577241	0.017680	0.799284
1279	0.015449	0.577233	0.011121	0.799173
1280	0.021418	0.577306	0.024293	0.799396
1281	0.022094	0.577315	0.023013	0.799374
1282	0.019985	0.577289	0.017721	0.799285
1283	0.014113	0.577217	0.013618	0.799215
1284	0.025862	0.577361	0.013184	0.799208
1285	0.021246	0.577304	0.026088	0.799426
1286	0.019516	0.577283	0.023873	0.799389
1287	0.009411	0.577160	0.015381	0.799245
1288	0.011259	0.577182	0.011057	0.799172
1289	0.014611	0.577223	0.030587	0.799502
1290	0.014764	0.577225	0.017288	0.799277
1291	0.015836	0.577238	0.023242	0.799378
1292	0.030422	0.577416	0.014799	0.799235
1293	0.008575	0.577150	0.016615	0.799266
1294	0.013604	0.577211	0.020559	0.799333
1295	0.010652	0.577175	0.020536	0.799332
1296	0.029267	0.577402	0.007839	0.799118
1297	0.027118	0.577376	0.020705	0.799335
1298	0.019308	0.577281	0.013119	0.799207
1299	0.022229	0.577316	0.010712	0.799166
1300	0.007276	0.577134	0.024928	0.799407
1301	0.010602	0.577174	0.014008	0.799222
1302	0.008371	0.577147	0.016234	0.799260
1303	0.010721	0.577176	0.024691	0.799403
1304	0.018696	0.577273	0.012143	0.799191
1305	0.017959	0.577264	0.016820	0.799270
1306	0.014241	0.577219	0.011097	0.799173
1307	0.024847	0.577348	0.013688	0.799217
1308	0.024010	0.577338	0.018079	0.799291
1309	0.012561	0.577198	0.022787	0.799370
1310	0.019049	0.577277	0.022517	0.799366
1311	0.013928	0.577215	0.019086	0.799308
1312	0.027984	0.577387	0.013622	0.799216
1313	0.025536	0.577357	0.020969	0.799340
1314	0.020124	0.577291	0.021578	0.799350
1315	0.026917	0.577374	0.016926	0.799271
1316	0.013462	0.577209	0.025583	0.799418
1317	0.026469	0.577368	0.019244	0.799311
1318	0.024665	0.577346	0.008131	0.799123
1319	0.033940	0.577459	0.020058	0.799324
1320	0.009184	0.577157	0.009326	0.799143
1321	0.020050	0.577290	0.020427	0.799331
1322	0.013195	0.577206	0.013294	0.799210
1323	0.012709	0.577200	0.010677	0.799166
1324	0.021943	0.577313	0.008841	0.799135
1325	0.021986	0.577313	0.009949	0.799153
1326	0.012274	0.577195	0.020348	0.799329
1327	0.013842	0.577214	0.013123	0.799207
1328	0.023530	0.577332	0.014118	0.799224
1329	0.018707	0.577273	0.012675	0.799200
1330	0.022634	0.577321	0.017616	0.799283
1331	0.011692	0.577188	0.012014	0.799188
1332	0.022976	0.577325	0.011406	0.799178
1333	0.015494	0.577234	0.025646	0.799419
1334	0.010588	0.577174	0.016333	0.799261
1335	0.024097	0.577339	0.011762	0.799184
1336	0.023728	0.577335	0.022409	0.799364
1337	0.014661	0.577224	0.014672	0.799233
1338	0.015566	0.577235	0.016794	0.799269
1339	0.012154	0.577193	0.012974	0.799205
1340	0.017329	0.577256	0.010579	0.799164
1341	0.015471	0.577234	0.013761	0.799218
1342	0.013389	0.577208	0.016053	0.799257
1343	0.022787	0.577323	0.011153	0.799174
1344	0.009952	0.577166	0.012942	0.799204
1345	0.016870	0.577251	0.018988	0.799306
1346	0.007205	0.577133	0.018944	0.799305
1347	0.008496	0.577149	0.006896	0.799102
1348	0.027954	0.577386	0.029593	0.799486
1349	0.016065	0.577241	0.020151	0.799326
1350	0.022708	0.577322	0.015257	0.799243
1351	0.014983	0.577228	0.014531	0.799231
1352	0.012854	0.577202	0.022629	0.799368
1353	0.016958	0.577252	0.016703	0.799268
1354	0.019712	0.577286	0.021425	0.799347
1355	0.020399	0.577294	0.018718	0.799302
1356	0.009324	0.577159	0.011583	0.799181
1357	0.030410	0.577416	0.019080	0.799308
1358	0.019757	0.577286	0.015510	0.799247
1359	0.020757	0.577298	0.010999	0.799171
1360	0.013529	0.577210	0.012526	0.799197
1361	0.015994	0.577240	0.014070	0.799223
1362	0.015812	0.577238	0.014408	0.799229
1363	0.017442	0.577258	0.020831	0.799337
1364	0.008269	0.577146	0.014189	0.799225
1365	0.004012	0.577094	0.008608	0.799131
1366	0.016026	0.577241	0.021554	0.799350
1367	0.005845	0.577116	0.025481	0.799416
1368	0.010206	0.577170	0.011673	0.799183
1369	0.016603	0.577248	0.027509	0.799450
1370	0.018514	0.577271	0.028252	0.799463
1371	0.030621	0.577419	0.012341	0.799194
1372	0.006676	0.577126	0.008144	0.799123
1373	0.010664	0.577175	0.017163	0.799275
1374	0.017383	0.577257	0.014895	0.799237
1375	0.012200	0.577194	0.014851	0.799236
1376	0.015932	0.577239	0.015901	0.799254
1377	0.025506	0.577356	0.016213	0.799259
1378	0.014790	0.577225	0.023202	0.799377
1379	0.010110	0.577168	0.009993	0.799154
1380	0.023277	0.577329	0.031352	0.799515
1381	0.007938	0.577142	0.009777	0.799151
1382	0.016302	0.577244	0.014835	0.799236
1383	0.014974	0.577228	0.013151	0.799208
1384	0.012005	0.577191	0.010192	0.799158
1385	0.008790	0.577152	0.024172	0.799394
1386	0.022553	0.577320	0.024193	0.799394
1387	0.011263	0.577182	0.016651	0.799267
1388	0.011016	0.577179	0.015533	0.799248
1389	0.010524	0.577173	0.016776	0.799269
1390	0.011641	0.577187	0.023012	0.799374
1391	0.010980	0.577179	0.019998	0.799323
1392	0.026920	0.577374	0.029170	0.799478
1393	0.026718	0.577371	0.016510	0.799264
1394	0.012517	0.577198	0.023323	0.799379
1395	0.012559	0.577198	0.025938	0.799424
1396	0.020871	0.577300	0.006715	0.799099
1397	0.012948	0.577203	0.020355	0.799329
1398	0.007038	0.577131	0.021483	0.799348
1399	0.020495	0.577295	0.026175	0.799428
1400	0.018845	0.577275	0.018692	0.799301
1401	0.029960	0.577411	0.018923	0.799305
1402	0.017630	0.577260	0.019869	0.799321
1403	0.012250	0.577194	0.010225	0.799158
1404	0.012217	0.577194	0.019022	0.799307
1405	0.010936	0.577178	0.011465	0.799179
1406	0.009989	0.577167	0.020359	0.799329
1407	0.023291	0.577329	0.007771	0.799117
1408	0.018537	0.577271	0.017406	0.799279
1409	0.025506	0.577356	0.010988	0.799171
1410	0.006414	0.577123	0.014995	0.799239
1411	0.016372	0.577245	0.006139	0.799089
1412	0.021541	0.577308	0.010725	0.799167
1413	0.013550	0.577210	0.041955	0.799695
1414	0.019300	0.577281	0.010662	0.799166
1415	0.018903	0.577276	0.013495	0.799213
1416	0.011810	0.577189	0.013385	0.799212
1417	0.013760	0.577213	0.009297	0.799142
1418	0.021794	0.577311	0.018941	0.799305
1419	0.013946	0.577215	0.014047	0.799223
1420	0.011935	0.577191	0.020017	0.799324
1421	0.017498	0.577259	0.019612	0.799317
1422	0.018910	0.577276	0.021370	0.799347
1423	0.019342	0.577281	0.010563	0.799164
1424	0.014196	0.577218	0.016597	0.799266
1425	0.014016	0.577216	0.018838	0.799304
1426	0.020618	0.577297	0.022487	0.799365
1427	0.023040	0.577326	0.006043	0.799087
1428	0.016638	0.577248	0.011346	0.799177
1429	0.017326	0.577256	0.015705	0.799251
1430	0.015739	0.577237	0.016684	0.799267
1431	0.019653	0.577285	0.011443	0.799179
1432	0.027481	0.577380	0.011673	0.799183
1433	0.017227	0.577255	0.018854	0.799304
1434	0.014080	0.577217	0.023795	0.799387
1435	0.015730	0.577237	0.013989	0.799222
1436	0.018652	0.577273	0.018270	0.799294
1437	0.005311	0.577110	0.018034	0.799290
1438	0.019701	0.577285	0.028499	0.799467
1439	0.015957	0.577240	0.013660	0.799216
1440	0.015175	0.577230	0.009288	0.799142
1441	0.016500	0.577246	0.012995	0.799205
1442	0.014880	0.577227	0.024350	0.799397
1443	0.031597	0.577431	0.017031	0.799273
1444	0.013986	0.577216	0.012297	0.799193
1445	0.005795	0.577116	0.027966	0.799458
1446	0.013751	0.577213	0.016879	0.799271
1447	0.012043	0.577192	0.021180	0.799343
1448	0.021211	0.577304	0.020078	0.799325
1449	0.019002	0.577277	0.016927	0.799271
1450	0.014510	0.577222	0.019888	0.799321
1451	0.008795	0.577152	0.021870	0.799355
1452	0.012626	0.577199	0.014584	0.799232
1453	0.019298	0.577281	0.027125	0.799444
1454	0.007085	0.577131	0.009254	0.799142
1455	0.009325	0.577159	0.011884	0.799186
1456	0.008202	0.577145	0.012301	0.799193
1457	0.008088	0.577144	0.011851	0.799186
1458	0.011112	0.577181	0.023274	0.799379
1459	0.016148	0.577242	0.025929	0.799424
1460	0.016265	0.577243	0.016944	0.799272
1461	0.026402	0.577367	0.023858	0.799389
1462	0.022252	0.577317	0.009738	0.799150
