r	Na-Na	Na-Cl	Cl-Cl
3.170000	0.742421	0.720160	0.745037
3.190000	0.740233	0.731170	0.752678
3.210000	0.746945	0.738558	0.734655
3.230000	0.748946	0.748920	0.749267
3.250000	0.763013	0.753352	0.767266
3.270000	0.760278	0.772395	0.774132
3.290000	0.773668	0.791340	0.767398
3.310000	0.782710	0.823560	0.788468
3.330000	0.789498	0.875783	0.778336
3.350000	0.793598	0.968063	0.797090
3.370000	0.799103	1.289682	0.798808
3.390000	0.806959	2.381627	0.814361
3.410000	0.818851	1.939223	0.818235
3.430000	0.832605	1.296821	0.838576
3.450000	0.838598	0.992742	0.844621
3.470000	0.850312	0.933737	0.844954
3.490000	0.865195	0.902783	0.872846
3.510000	0.869794	0.892116	0.872160
3.530000	0.888346	0.907221	0.890033
3.550000	0.901496	0.901320	0.892054
3.570000	0.908672	0.903740	0.918046
3.590000	0.932653	0.915430	0.921491
3.610000	0.922347	0.922012	0.931662
3.630000	0.948915	0.929847	0.954355
3.650000	0.942669	0.943026	0.954363
3.670000	0.964853	0.947403	0.952860
3.690000	0.969479	0.948307	0.977797
3.710000	0.977804	0.963345	0.976554
3.730000	0.995581	0.969783	1.006916
3.750000	1.008269	0.976983	1.009050
3.770000	1.004055	0.987597	1.015420
3.790000	1.020348	0.988600	1.023581
3.810000	1.033609	1.003248	1.022725
3.830000	1.041413	1.012887	1.029761
3.850000	1.045479	1.013954	1.041635
3.870000	1.057365	1.016991	1.042853
3.890000	1.074047	1.023123	1.057942
3.910000	1.068035	1.034182	1.051406
3.930000	1.079170	1.029247	1.077186
3.950000	1.077413	1.035911	1.071276
3.970000	1.073845	1.034309	1.076609
3.990000	1.087887	1.037755	1.083556
4.010000	1.090430	1.038847	1.083344
4.030000	1.100151	1.044834	1.084557
4.050000	1.134263	1.033708	1.109365
4.070000	1.210688	1.046103	1.180600
4.090000	1.566160	1.038516	1.628724
4.110000	1.533439	1.039912	1.550303
4.130000	1.193252	1.040320	1.199568
4.150000	1.136634	1.034417	1.102164
4.170000	1.078373	1.037074	1.089910
4.190000	1.068103	1.026801	1.058586
4.210000	1.049524	1.025875	1.052496
4.230000	1.044199	1.019448	1.038392
4.250000	1.036859	1.019775	1.031929
4.270000	1.028981	1.020420	1.011755
4.290000	1.020554	1.020059	1.013374
4.310000	1.018372	1.010446	1.018707
4.330000	1.001070	1.008500	1.001402
4.350000	0.996061	1.008812	1.000261
4.370000	0.984332	1.021398	0.989873
4.390000	0.990413	1.030993	0.978414
4.410000	0.971850	1.042981	0.972416
4.430000	0.966729	1.145403	0.966851
4.450000	0.967778	1.460587	0.964200
4.470000	0.956669	1.954717	0.952428
4.490000	0.952939	1.349008	0.950754
4.510000	0.948037	1.088428	0.934149
4.530000	0.941504	1.007190	0.940827
4.550000	0.941154	0.971090	0.927926
4.570000	0.939903	0.958609	0.928350
4.590000	0.923640	0.940081	0.927435
4.610000	0.917581	0.934791	0.920983
4.630000	0.915611	0.922746	0.915410
4.650000	0.917340	0.913675	0.909988
4.670000	0.907567	0.902068	0.914087
4.690000	0.907636	0.898635	0.908833
4.710000	0.894505	0.892573	0.904238
4.730000	0.891665	0.889984	0.899304
4.750000	0.892893	0.888754	0.895482
4.770000	0.890723	0.880644	0.897499
4.790000	0.896676	0.882247	0.902185
4.810000	0.903037	0.878702	0.906224
4.830000	0.900418	0.873163	0.893317
4.850000	0.902573	0.878311	0.907010
4.870000	0.899838	0.871475	0.910719
4.890000	0.911893	0.865593	0.916779
4.910000	0.918520	0.869150	0.923624
4.930000	0.940906	0.870799	0.941910
4.950000	0.965577	0.874055	0.963897
4.970000	1.056129	0.869970	1.013488
4.990000	1.293810	0.869788	1.206748
5.010000	1.871499	0.876086	2.014918
5.030000	2.319573	0.875680	2.516502
5.050000	1.344011	0.879468	1.298373
5.070000	1.090330	0.874359	1.023912
5.090000	0.977222	0.880612	0.971623
5.110000	0.944982	0.886099	0.944414
5.130000	0.922911	0.890037	0.924821
5.150000	0.915450	0.896369	0.918176
5.170000	0.908094	0.900463	0.911497
5.190000	0.902922	0.911462	0.903117
5.210000	0.909725	0.918817	0.904981
5.230000	0.901240	0.930680	0.904706
5.250000	0.904670	0.949076	0.906285
5.270000	0.910487	0.981638	0.913348
5.290000	0.906113	1.082329	0.901682
5.310000	0.905786	1.396934	0.908656
5.330000	0.911304	1.969342	0.906821
5.350000	0.911763	1.221250	0.902931
5.370000	0.919494	1.045199	0.912222
5.390000	0.921714	0.987137	0.917512
5.410000	0.919917	0.963854	0.921635
5.430000	0.920054	0.961086	0.922636
5.450000	0.918552	0.949395	0.915377
5.470000	0.931705	0.950914	0.922856
5.490000	0.928979	0.947858	0.936398
5.510000	0.932939	0.952816	0.935715
5.530000	0.931057	0.955025	0.926955
5.550000	0.936156	0.947657	0.937679
5.570000	0.943488	0.954004	0.939691
5.590000	0.946324	0.958183	0.940487
5.610000	0.952367	0.954588	0.949735
5.630000	0.957998	0.959871	0.955627
5.650000	0.960962	0.965101	0.954663
5.670000	0.963442	0.960948	0.966376
5.690000	0.963765	0.963986	0.962774
5.710000	0.976570	0.965681	0.976408
5.730000	0.996391	0.970128	0.983982
5.750000	1.030335	0.972000	1.003908
5.770000	1.139154	0.973140	1.105072
5.790000	1.537997	0.973747	1.597721
5.810000	1.273267	0.973976	1.341912
5.830000	1.118151	0.972947	1.079795
5.850000	1.028693	0.977140	1.007373
5.870000	0.997102	0.983568	0.989765
5.890000	0.988354	0.982682	0.977135
5.910000	0.982855	0.986878	0.976947
5.930000	0.975801	0.996019	0.964569
5.950000	0.967967	1.005474	0.969928
5.970000	0.965402	1.010476	0.958430
5.990000	0.970601	1.025702	0.962702
6.010000	0.971164	1.063841	0.955099
6.030000	0.963969	1.180644	0.966194
6.050000	0.967416	1.597989	0.958822
6.070000	0.959258	2.121371	0.960804
6.090000	0.963902	1.294961	0.962249
6.110000	0.957358	1.091104	0.950753
6.130000	0.954141	1.028343	0.961390
6.150000	0.954477	1.002115	0.953641
6.170000	0.945230	0.986876	0.952512
6.190000	0.954826	0.978504	0.954326
6.210000	0.956780	0.968009	0.950585
6.230000	0.954804	0.964209	0.955815
6.250000	0.949597	0.959770	0.950419
6.270000	0.954229	0.959076	0.953267
6.290000	0.948534	0.955346	0.955819
6.310000	0.953425	0.952907	0.955493
6.330000	0.955104	0.947152	0.953790
6.350000	0.953478	0.945398	0.953514
6.370000	0.964810	0.940710	0.958332
6.390000	0.971138	0.941057	0.973143
6.410000	0.993483	0.940134	0.980025
6.430000	1.033087	0.936582	1.013240
6.450000	1.150483	0.934672	1.141760
6.470000	1.467014	0.938521	1.518183
6.490000	1.856477	0.932996	1.972121
6.510000	1.218687	0.929813	1.149086
6.530000	1.034305	0.924256	1.044624
6.550000	0.987334	0.924546	0.979422
6.570000	0.963896	0.927749	0.963652
6.590000	0.943216	0.929352	0.941694
6.610000	0.944135	0.931215	0.941450
6.630000	0.934374	0.936977	0.934951
6.650000	0.934359	0.944628	0.930234
6.670000	0.925848	0.956453	0.926537
6.690000	0.922192	1.019889	0.920545
6.710000	0.922477	1.213260	0.921339
6.730000	0.911337	1.347879	0.917373
6.750000	0.912627	1.036136	0.918217
6.770000	0.917010	0.959451	0.919475
6.790000	0.915437	0.934612	0.919061
6.810000	0.908798	0.928913	0.910801
6.830000	0.915286	0.921644	0.913460
6.850000	0.911980	0.919627	0.915112
6.870000	0.909761	0.922710	0.913170
6.890000	0.913161	0.918637	0.916116
6.910000	0.920687	0.918089	0.915021
6.930000	0.917783	0.913760	0.918012
6.950000	0.917276	0.917672	0.918832
6.970000	0.918011	0.915340	0.922515
6.990000	0.920261	0.916214	0.919095
7.010000	0.924448	0.918715	0.924000
7.030000	0.931664	0.921104	0.930976
7.050000	0.938975	0.923630	0.936201
7.070000	0.991685	0.920011	0.968726
7.090000	1.085969	0.922857	1.102608
7.110000	1.143937	0.926679	1.190485
7.130000	1.005371	0.928165	0.991169
7.150000	0.951496	0.931249	0.941700
7.170000	0.937879	0.937497	0.932068
7.190000	0.938707	0.939406	0.934169
7.210000	0.935772	0.946975	0.929942
7.230000	0.934146	0.958454	0.929155
7.250000	0.934301	0.971208	0.928790
7.270000	0.929475	1.003609	0.927999
7.290000	0.934319	1.115658	0.930184
7.310000	0.933792	1.647273	0.938675
7.330000	0.933987	1.441729	0.931358
7.350000	0.938854	1.116483	0.944881
7.370000	0.939151	1.007158	0.938464
7.390000	0.941903	0.974765	0.941062
7.410000	0.947647	0.967274	0.938823
7.430000	0.955023	0.960842	0.948961
7.450000	0.946038	0.956401	0.945468
7.470000	0.952690	0.955581	0.947293
7.490000	0.957440	0.947801	0.954854
7.510000	0.962211	0.948319	0.962610
7.530000	0.971005	0.947173	0.967332
7.550000	0.980146	0.950556	0.976795
7.570000	0.996579	0.947779	0.992619
7.590000	1.016340	0.950125	1.008362
7.610000	1.073876	0.945150	1.035583
7.630000	1.184251	0.949716	1.132770
